Player_Name,Team_x,Type,Base,Final_Price
pradosh ranjan paul,-,BAT,0.3,TBA
karteek sharma,-,BAT,0.3,TBA
akash singh,-,BAT,0.3,TBA
tejasvi singh,-,BAT,0.3,TBA
siddarth yadav,-,BAT,0.3,TBA
saurabh dubey,-,BOWL,0.3,TBA
aaqib khan,-,BOWL,0.3,TBA
kulwant khejroliya,GT,BOWL,0.3,0.3
ankit rajpoot,-,BOWL,0.3,TBA
divesh sharma,-,BOWL,0.3,Unsold
naman tiwari,-,BOWL,0.3,Unsold
prince yadav,LSG,BOWL,0.3,0.3
kunal singh chibb,-,BOWL,0.3,TBA
yuvraj chudasama,-,BOWL,0.3,TBA
deepak devadiga,-,BOWL,0.3,TBA
ramesh prasad,-,BOWL,0.3,TBA
shivam shukla,-,BOWL,0.3,TBA
himanshu singh,-,BOWL,0.3,TBA
tejpreet singh,-,BOWL,0.3,TBA
qais ahmad,-,AR,0.75,TBA
charith asalanka,-,AR,0.75,TBA
michael bracewell,-,AR,1.5,Unsold
gudakesh motie,-,AR,0.75,TBA
dan mousley,-,AR,0.75,TBA
jamie overton,CSK,AR,1.5,1.5
dunith wellalage,-,AR,0.75,TBA
ottneil baartman,-,BOWL,0.75,Unsold
xavier bartlett,PBKS,BOWL,0.75,0.8
dilshan madushanka,-,BOWL,0.75,Unsold
adam milne,-,BOWL,2,Unsold
lungi ngidi,RCB,BOWL,1,1
william o’rourke,-,BOWL,1.5,Unsold
chetan sakariya,-,BOWL,0.75,Unsold
sandeep warrier,-,BOWL,0.75,Unsold
musaif ajaz,-,BAT,0.3,TBA
agni chopra,-,BAT,0.3,TBA
abhimanyu easwaran,-,BAT,0.3,TBA
sudip kumar gharami,-,BAT,0.3,TBA
shubham khajuria,-,BAT,0.3,TBA
akhil rawat,-,BAT,0.3,TBA
prateek yadav,-,BAT,0.3,TBA
abdul basith,-,AR,0.3,Unsold
kc cariappa,-,AR,0.3,TBA
yuvraj chaudhary,LSG,AR,0.3,Unsold
aman khan,-,AR,0.3,TBA
sumit kumar,-,AR,0.3,TBA
kamlesh nagarkoti,CSK,AR,0.3,0.3
hardik raj,-,AR,0.3,TBA
harsh tyagi,-,AR,0.3,TBA
m ajnas,-,BAT,0.3,TBA
unmukt chand,-,BAT,0.3,TBA
tejasvi dahiya,-,BAT,0.3,Unsold
sumit ghadigaonkar,-,BAT,0.3,TBA
baba indrajith,-,BAT,0.3,TBA
muhammed adnan khan,-,BAT,0.3,TBA
bhagmender lather,-,BAT,0.3,TBA
baltej singh,-,BOWL,0.3,TBA
ali khan,-,BOWL,0.3,TBA
ravi kumar,-,BOWL,0.3,TBA
vineet panwar,-,BOWL,0.3,TBA
vidyadhar patil,-,BOWL,0.3,TBA
aaradhya shukla,-,BOWL,0.3,TBA
abhinandan singh,RCB,BOWL,0.3,0.3
cooper connolly,-,AR,0.75,TBA
dushan hemantha,-,AR,0.75,TBA
jason holder,-,AR,2,TBA
karim janat,GT,AR,0.75,0.75
james neesham,-,AR,1.5,TBA
daniel sams,-,AR,1.5,TBA
will sutherland,-,AR,0.75,TBA
taskin ahmed,-,BOWL,1,TBA
ben dwarshuis,-,BOWL,0.75,TBA
obed mccoy,-,BOWL,1.25,TBA
riley meredith,-,BOWL,1.5,TBA
lance morris,-,BOWL,1.25,Unsold
olly stone,-,BOWL,0.75,Unsold
daniel worrall,-,BOWL,1.5,TBA
pyla avinash,PBKS,BAT,0.3,0.3
kiran chormale,-,BAT,0.3,TBA
ashish dahariya,-,BAT,0.3,TBA
tushar raheja,-,BAT,0.3,TBA
sarthak ranjan,-,BAT,0.3,TBA
abhijeet tomar,-,BAT,0.3,TBA
krish bhagat,-,AR,0.3,TBA
sohraab dhaliwal,-,AR,0.3,TBA
harsh dubey,-,AR,0.3,TBA
ramakrishna ghosh,CSK,AR,0.3,0.3
raj limbani,-,AR,0.3,Unsold
ninad rathva,-,AR,0.3,TBA
vivrant sharma,-,AR,0.3,TBA
shiva singh,-,AR,0.3,Unsold
sayed irfan aftab,-,BOWL,0.3,TBA
anirudh chowdhary,-,BOWL,0.3,Unsold
siddarth kaul,-,BOWL,0.4,TBA
prashant painkra,-,BOWL,0.3,TBA
satyanarayana raju,MI,BOWL,0.3,0.3
yeddala reddy,-,BOWL,0.3,TBA
zakary foulkes,-,AR,0.75,TBA
chris green,-,AR,1,TBA
shakib al hasan,-,AR,1,TBA
mehidy hasan miraz,-,AR,1,TBA
wiaan mulder,-,AR,0.75,TBA
dwaine pretorius,-,AR,0.75,Unsold
dasun shanaka,-,AR,0.75,TBA
shoriful islam,-,BOWL,0.75,TBA
blessing muzarabani,-,BOWL,0.75,Unsold
matthew potts,-,BOWL,1.5,TBA
tanzim hasan sakib,-,BOWL,0.75,TBA
ben sears,-,BOWL,1,TBA
tim southee,-,BOWL,1.5,TBA
john turner,-,BOWL,1.5,TBA
joshua brown,-,BAT,0.3,TBA
oliver davies,-,BAT,0.3,TBA
bevon jacobs,MI,BAT,0.3,0.3
atharva kale,-,BAT,0.3,TBA
abhishek nair,-,BAT,0.3,TBA
vishwanath singh,-,BAT,0.3,TBA
lone nasir,-,AR,0.3,TBA
brandon mcmullen,-,AR,0.3,Unsold
sudhesan midhun,-,AR,0.3,TBA
abid mushtaq,-,AR,0.3,TBA
mahesh pithiya,-,AR,0.3,TBA
maramreddy reddy,-,AR,0.3,TBA
atit sheth,-,AR,0.3,Unsold
jonty sidhu,-,AR,0.3,TBA
mohit avasthi,-,BOWL,0.3,TBA
faridoon dawoodzai,-,BOWL,0.3,TBA
praful hinge,-,BOWL,0.3,TBA
pankaj jaswal,-,BOWL,0.3,TBA
vijay kumar,-,BOWL,0.3,Unsold
ashok sharma,RR,BOWL,0.3,0.3
mujtaba yousuf,-,BOWL,0.3,TBA
ashton agar,-,AR,1.25,TBA
roston chase,-,AR,0.75,Unsold
junior dala,-,AR,0.75,TBA
mahedi hasan,-,AR,0.75,TBA
nangeyalia kharote,-,AR,0.75,TBA
dan lawrence,-,AR,1,TBA
nathan smith,-,AR,1,Unsold
